,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
415168,Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,41.3750293,2.1491172,8.30815450644,932,8.60429594272
416100,Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,41.3798964,2.1412433,8.6028708134,836,8.59428571429
422777,Attica 21 Barcelona Mar,Proven als 10 Sant Mart 08019 Barcelona Spain,41.4052324,2.2117289,8.27321428571,168,7.83302752294
422945,Hotel America Barcelona,Provenza 195 Eixample 08008 Barcelona Spain,41.3919083,2.1573318,8.75555555556,54,8.61176470588
423505,Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,41.4072812,2.1443116,7.41221719457,442,7.37906976744
423947,Hotel Murmuri Barcelona,Rambla Catalunya 104 Eixample 08008 Barcelona Spain,41.3941625,2.1597836,8.68111111111,90,8.94078947368
424037,NH Collection Barcelona Gran Hotel Calder n,Rambla Catalunya 26 Eixample 08007 Barcelona Spain,41.3894654,2.1662651,8.80740740741,189,8.7875
424226,H10 Metropolitan 4 Sup,Rambla Catalunya 7 9 Eixample 08007 Barcelona Spain,41.3875467,2.1673975,9.32412451362,514,8.94682539683
424740,HCC Regente,Rambla de Catalunya 76 Eixample 08008 Barcelona Spain,41.3922919,2.1622256,8.25138888889,72,7.79722222222
424812,Barcel Raval,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,41.3790126,2.1696339,8.5115942029,552,8.159375
425364,Le M ridien Barcelona,Ramblas 111 Ciutat Vella 08002 Barcelona Spain,41.3837453,2.171014,8.24745762712,118,8.13411764706
425482,Ilunion Barcelona,Ramon Turr 196 198 Sant Mart 08005 Barcelona Spain,41.3989322,2.2024183,7.82177419355,620,8.02247474747
426562,Catalonia Born,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain,41.3896916,2.1798661,8.81116173121,439,8.77677725118
430390,The Wittmore Adults Only,Riudarenes 7 Ciutat Vella 08002 Barcelona Spain,41.380939,2.1796095,9.42235294118,85,9.35581395349
431404,Hotel mbit Barcelona,Roger de Ll ria 17 Eixample 08010 Barcelona Spain,41.3907821,2.1717426,9.08101265823,316,8.44960629921
431720,Catalonia Eixample 1864,Roger de Ll ria 60 Eixample 08009 Barcelona Spain,41.393599,2.1684151,8.30817757009,428,8.28523206751
432148,Negresco Princess 4 Sup,Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,41.3905166,2.1725643,8.97461538462,520,8.73056768559
432668,Petit Palace Barcelona,Roger De Lluria 21 Esq Gran Via 662 Eixample 08037 Barcelona Spain,41.3909816,2.1714938,8.159375,160,7.43888888889
432828,Roger de Ll ria,Roger de Lluria 28 Eixample 08010 Barcelona Spain,41.3910786,2.1717285,8.646875,128,8.26202531646
432956,Hotel Garbi Millenni,Ronda Sant Pau 14 Ciutat Vella 08001 Barcelona Spain,41.3759896,2.167148,7.51125,80,7.72678571429
